type,date,year_month,butter_price,dairy_price,margarine_price,butter_search_interest,fear_score,count
price_indices,1996-01-01,,,79.9,,,,
price_indices,1996-02-01,,,79.9,,,,
price_indices,1996-03-01,,,80.0,,,,
price_indices,1996-04-01,,,80.1,,,,
price_indices,1996-05-01,,,79.9,,,,
price_indices,1996-06-01,,,79.9,,,,
price_indices,1996-07-01,,,79.9,,,,
price_indices,1996-08-01,,,80.0,,,,
price_indices,1996-09-01,,,80.1,,,,
price_indices,1996-10-01,,,80.2,,,,
price_indices,1996-11-01,,,80.1,,,,
price_indices,1996-12-01,,,80.1,,,,
price_indices,1997-01-01,,,80.3,,,,
price_indices,1997-02-01,,,80.2,,,,
price_indices,1997-03-01,,,80.3,,,,
price_indices,1997-04-01,,,80.0,,,,
price_indices,1997-05-01,,,79.9,,,,
price_indices,1997-06-01,,,79.9,,,,
price_indices,1997-07-01,,,79.8,,,,
price_indices,1997-08-01,,,79.9,,,,
price_indices,1997-09-01,,,79.9,,,,
price_indices,1997-10-01,,,80.0,,,,
price_indices,1997-11-01,,,80.0,,,,
price_indices,1997-12-01,,,80.1,,,,
price_indices,1998-01-01,,,80.3,,,,
price_indices,1998-02-01,,,80.3,,,,
price_indices,1998-03-01,,,80.2,,,,
price_indices,1998-04-01,,,80.3,,,,
price_indices,1998-05-01,,,80.1,,,,
price_indices,1998-06-01,,,80.0,,,,
price_indices,1998-07-01,,,79.9,,,,
price_indices,1998-08-01,,,79.8,,,,
price_indices,1998-09-01,,,79.7,,,,
price_indices,1998-10-01,,,79.7,,,,
price_indices,1998-11-01,,,79.7,,,,
price_indices,1998-12-01,,,79.7,,,,
price_indices,1999-01-01,,,79.7,,,,
price_indices,1999-02-01,,,79.5,,,,
price_indices,1999-03-01,,,79.5,,,,
price_indices,1999-04-01,,,79.3,,,,
price_indices,1999-05-01,,,79.1,,,,
price_indices,1999-06-01,,,79.0,,,,
price_indices,1999-07-01,,,78.8,,,,
price_indices,1999-08-01,,,78.6,,,,
price_indices,1999-09-01,,,78.4,,,,
price_indices,1999-10-01,,,78.3,,,,
price_indices,1999-11-01,,,78.2,,,,
price_indices,1999-12-01,,,78.3,,,,
price_indices,2000-01-01,,,78.1,,,,
price_indices,2000-02-01,,,78.0,,,,
price_indices,2000-03-01,,,77.9,,,,
price_indices,2000-04-01,,,77.9,,,,
price_indices,2000-05-01,,,77.8,,,,
price_indices,2000-06-01,,,77.7,,,,
price_indices,2000-07-01,,,77.5,,,,
price_indices,2000-08-01,,,77.5,,,,
price_indices,2000-09-01,,,77.5,,,,
price_indices,2000-10-01,,,77.8,,,,
price_indices,2000-11-01,,,78.0,,,,
price_indices,2000-12-01,,,78.2,,,,
price_indices,2001-01-01,,,78.5,,,,
price_indices,2001-02-01,,,79.0,,,,
price_indices,2001-03-01,,,79.4,,,,
price_indices,2001-04-01,,,79.9,,,,
price_indices,2001-05-01,,,81.2,,,,
price_indices,2001-06-01,,,82.4,,,,
price_indices,2001-07-01,,,82.9,,,,
price_indices,2001-08-01,,,83.3,,,,
price_indices,2001-09-01,,,83.5,,,,
price_indices,2001-10-01,,,83.8,,,,
price_indices,2001-11-01,,,84.0,,,,
price_indices,2001-12-01,,,84.1,,,,
price_indices,2002-01-01,,,84.3,,,,
price_indices,2002-02-01,,,84.1,,,,
price_indices,2002-03-01,,,84.3,,,,
price_indices,2002-04-01,,,84.2,,,,
price_indices,2002-05-01,,,83.9,,,,
price_indices,2002-06-01,,,83.5,,,,
price_indices,2002-07-01,,,83.2,,,,
price_indices,2002-08-01,,,83.0,,,,
price_indices,2002-09-01,,,83.0,,,,
price_indices,2002-10-01,,,82.7,,,,
price_indices,2002-11-01,,,82.7,,,,
price_indices,2002-12-01,,,82.9,,,,
price_indices,2003-01-01,,,82.6,,,,
price_indices,2003-02-01,,,82.6,,,,
price_indices,2003-03-01,,,82.5,,,,
price_indices,2003-04-01,,,82.7,,,,
price_indices,2003-05-01,,,82.9,,,,
price_indices,2003-06-01,,,82.9,,,,
price_indices,2003-07-01,,,82.8,,,,
price_indices,2003-08-01,,,82.8,,,,
price_indices,2003-09-01,,,82.8,,,,
price_indices,2003-10-01,,,83.3,,,,
price_indices,2003-11-01,,,83.5,,,,
price_indices,2003-12-01,,,83.5,,,,
price_indices,2004-01-01,,,83.5,,,,
price_indices,2004-02-01,,,83.3,,,,
price_indices,2004-03-01,,,83.0,,,,
price_indices,2004-04-01,,,82.8,,,,
price_indices,2004-05-01,,,82.5,,,,
price_indices,2004-06-01,,,82.6,,,,
price_indices,2004-07-01,,,82.5,,,,
price_indices,2004-08-01,,,82.3,,,,
price_indices,2004-09-01,,,82.2,,,,
price_indices,2004-10-01,,,82.1,,,,
price_indices,2004-11-01,,,82.2,,,,
price_indices,2004-12-01,,,82.1,,,,
price_indices,2005-01-01,,,82.0,,,,
price_indices,2005-02-01,,,81.9,,,,
price_indices,2005-03-01,,,81.7,,,,
price_indices,2005-04-01,,,81.5,,,,
price_indices,2005-05-01,,,81.5,,,,
price_indices,2005-06-01,,,81.4,,,,
price_indices,2005-07-01,,,81.2,,,,
price_indices,2005-08-01,,,81.3,,,,
price_indices,2005-09-01,,,81.5,,,,
price_indices,2005-10-01,,,81.5,,,,
price_indices,2005-11-01,,,81.6,,,,
price_indices,2005-12-01,,,81.6,,,,
price_indices,2006-01-01,,,81.4,,,,
price_indices,2006-02-01,,,81.4,,,,
price_indices,2006-03-01,,,81.6,,,,
price_indices,2006-04-01,,,81.6,,,,
price_indices,2006-05-01,,,81.6,,,,
price_indices,2006-06-01,,,81.6,,,,
price_indices,2006-07-01,,,81.4,,,,
price_indices,2006-08-01,,,81.3,,,,
price_indices,2006-09-01,,,81.5,,,,
price_indices,2006-10-01,,,81.3,,,,
price_indices,2006-11-01,,,81.4,,,,
price_indices,2006-12-01,,,81.7,,,,
price_indices,2007-01-01,,,81.4,,,,
price_indices,2007-02-01,,,81.3,,,,
price_indices,2007-03-01,,,81.3,,,,
price_indices,2007-04-01,,,81.5,,,,
price_indices,2007-05-01,,,81.6,,,,
price_indices,2007-06-01,,,82.1,,,,
price_indices,2007-07-01,,,82.6,,,,
price_indices,2007-08-01,,,83.7,,,,
price_indices,2007-09-01,,,87.0,,,,
price_indices,2007-10-01,,,92.3,,,,
price_indices,2007-11-01,,,94.7,,,,
price_indices,2007-12-01,,,95.9,,,,
price_indices,2008-01-01,,,97.5,,,,
price_indices,2008-02-01,,,98.5,,,,
price_indices,2008-03-01,,,98.8,,,,
price_indices,2008-04-01,,,99.1,,,,
price_indices,2008-05-01,,,95.2,,,,
price_indices,2008-06-01,,,95.6,,,,
price_indices,2008-07-01,,,95.9,,,,
price_indices,2008-08-01,,,96.2,,,,
price_indices,2008-09-01,,,96.3,,,,
price_indices,2008-10-01,,,96.1,,,,
price_indices,2008-11-01,,,92.4,,,,
price_indices,2008-12-01,,,91.5,,,,
price_indices,2009-01-01,,,91.2,,,,
price_indices,2009-02-01,,,91.1,,,,
price_indices,2009-03-01,,,90.9,,,,
price_indices,2009-04-01,,,90.8,,,,
price_indices,2009-05-01,,,88.9,,,,
price_indices,2009-06-01,,,88.3,,,,
price_indices,2009-07-01,,,88.0,,,,
price_indices,2009-08-01,,,87.6,,,,
price_indices,2009-09-01,,,87.5,,,,
price_indices,2009-10-01,,,87.1,,,,
price_indices,2009-11-01,,,88.4,,,,
price_indices,2009-12-01,,,88.8,,,,
price_indices,2010-01-01,,,88.7,,,,
price_indices,2010-02-01,,,88.7,,,,
price_indices,2010-03-01,,,88.7,,,,
price_indices,2010-04-01,,,88.6,,,,
price_indices,2010-05-01,,,89.0,,,,
price_indices,2010-06-01,,,89.6,,,,
price_indices,2010-07-01,,,89.6,,,,
price_indices,2010-08-01,,,89.8,,,,
price_indices,2010-09-01,,,89.8,,,,
price_indices,2010-10-01,,,90.0,,,,
price_indices,2010-11-01,,,90.3,,,,
price_indices,2010-12-01,,,90.4,,,,
price_indices,2011-01-01,,,90.5,,,,
price_indices,2011-02-01,,,90.7,,,,
price_indices,2011-03-01,,,91.5,,,,
price_indices,2011-04-01,,,91.3,,,,
price_indices,2011-05-01,,,93.1,,,,
price_indices,2011-06-01,,,93.5,,,,
price_indices,2011-07-01,,,94.3,,,,
price_indices,2011-08-01,,,94.6,,,,
price_indices,2011-09-01,,,94.8,,,,
price_indices,2011-10-01,,,95.0,,,,
price_indices,2011-11-01,,,94.4,,,,
price_indices,2011-12-01,,,94.6,,,,
price_indices,2012-01-01,,,94.3,,,,
price_indices,2012-02-01,,,94.1,,,,
price_indices,2012-03-01,,,94.5,,,,
price_indices,2012-04-01,,,94.3,,,,
price_indices,2012-05-01,,,93.1,,,,
price_indices,2012-06-01,,,92.9,,,,
price_indices,2012-07-01,,,92.7,,,,
price_indices,2012-08-01,,,92.7,,,,
price_indices,2012-09-01,,,92.6,,,,
price_indices,2012-10-01,,,92.3,,,,
price_indices,2012-11-01,,,94.3,,,,
price_indices,2012-12-01,,,94.9,,,,
price_indices,2013-01-01,,,95.6,,,,
price_indices,2013-02-01,,,96.0,,,,
price_indices,2013-03-01,,,96.1,,,,
price_indices,2013-04-01,,,96.0,,,,
price_indices,2013-05-01,,,97.3,,,,
price_indices,2013-06-01,,,98.0,,,,
price_indices,2013-07-01,,,98.4,,,,
price_indices,2013-08-01,,,98.6,,,,
price_indices,2013-09-01,,,98.9,,,,
price_indices,2013-10-01,,,100.3,,,,
price_indices,2013-11-01,,,102.3,,,,
price_indices,2013-12-01,,,103.6,,,,
price_indices,2014-01-01,,,104.4,,,,
price_indices,2014-02-01,,,104.6,,,,
price_indices,2014-03-01,,,104.4,,,,
price_indices,2014-04-01,,,104.6,,,,
price_indices,2014-05-01,,,104.8,,,,
price_indices,2014-06-01,,,104.9,,,,
price_indices,2014-07-01,,,105.0,,,,
price_indices,2014-08-01,,,105.0,,,,
price_indices,2014-09-01,,,105.2,,,,
price_indices,2014-10-01,,,105.1,,,,
price_indices,2014-11-01,,,102.7,,,,
price_indices,2014-12-01,,99.3,102.6,101.7,,,
price_indices,2015-01-01,,99.3,102.1,102.7,,,
price_indices,2015-02-01,,99.0,102.1,101.9,,,
price_indices,2015-03-01,,105.7,101.9,102.0,,,
price_indices,2015-04-01,,106.2,101.8,103.4,,,
price_indices,2015-05-01,,103.8,100.3,100.3,,,
price_indices,2015-06-01,,99.4,99.8,100.1,,,
price_indices,2015-07-01,,99.3,99.2,99.4,,,
price_indices,2015-08-01,,95.9,98.5,96.9,,,
price_indices,2015-09-01,,94.2,98.1,98.4,,,
price_indices,2015-10-01,,98.7,98.9,96.6,,,
price_indices,2015-11-01,,98.6,98.7,98.9,,,
price_indices,2015-12-01,,100.1,98.6,99.4,,,
price_indices,2016-01-01,,100.1,98.9,98.4,,,
price_indices,2016-02-01,,99.1,99.4,100.1,,,
price_indices,2016-03-01,,92.9,99.7,97.3,,,
price_indices,2016-04-01,,90.9,99.0,100.9,,,
price_indices,2016-05-01,,88.0,95.9,100.8,,,
price_indices,2016-06-01,,87.7,94.5,100.5,,,
price_indices,2016-07-01,,97.5,94.5,100.4,,,
price_indices,2016-08-01,,103.4,94.3,100.8,,,
price_indices,2016-09-01,,105.5,94.2,99.4,,,
price_indices,2016-10-01,,120.1,94.9,100.5,,,
price_indices,2016-11-01,,124.3,100.3,101.6,,,
price_indices,2016-12-01,,125.2,101.1,100.2,,,
price_indices,2017-01-01,,126.4,101.5,100.0,,,
price_indices,2017-02-01,,127.5,101.8,99.0,,,
price_indices,2017-03-01,,124.3,102.2,101.2,,,
price_indices,2017-04-01,,122.0,103.1,104.1,,,
price_indices,2017-05-01,,127.3,104.2,103.7,,,
price_indices,2017-06-01,,140.0,104.8,103.6,,,
price_indices,2017-07-01,,159.8,105.3,102.5,,,
price_indices,2017-08-01,,165.0,105.4,102.7,,,
price_indices,2017-09-01,,179.8,105.9,103.9,,,
price_indices,2017-10-01,,184.9,106.8,104.1,,,
price_indices,2017-11-01,,166.9,109.9,103.4,,,
price_indices,2017-12-01,,163.3,110.1,104.8,,,
price_indices,2018-01-01,,161.7,111.2,102.6,,,
price_indices,2018-02-01,,145.9,112.1,103.4,,,
price_indices,2018-03-01,,157.8,112.5,106.0,,,
price_indices,2018-04-01,,158.8,112.1,104.4,,,
price_indices,2018-05-01,,168.4,109.8,104.4,,,
price_indices,2018-06-01,,176.4,109.8,105.3,,,
price_indices,2018-07-01,,176.6,109.4,104.6,,,
price_indices,2018-08-01,,172.2,109.5,105.1,,,
price_indices,2018-09-01,,179.8,109.5,105.4,,,
price_indices,2018-10-01,,176.1,110.1,106.5,,,
price_indices,2018-11-01,,169.8,110.5,106.8,,,
price_indices,2018-12-01,,167.3,110.4,106.5,,,
price_indices,2019-01-01,,167.2,110.0,103.3,,,
price_indices,2019-02-01,,162.6,110.2,105.5,,,
price_indices,2019-03-01,,157.6,110.5,106.1,,,
price_indices,2019-04-01,,154.5,110.3,106.2,,,
price_indices,2019-05-01,,153.8,109.9,109.3,,,
price_indices,2019-06-01,,149.6,109.8,110.2,,,
price_indices,2019-07-01,,147.1,110.2,111.1,,,
price_indices,2019-08-01,,145.6,110.1,112.6,,,
price_indices,2019-09-01,,139.5,110.0,112.8,,,
price_indices,2019-10-01,,143.5,110.1,108.8,,,
price_indices,2019-11-01,,146.1,110.8,111.3,,,
price_indices,2019-12-01,,144.3,110.5,108.2,,,
price_indices,2020-01-01,,144.9,110.9,110.9,,,
price_indices,2020-02-01,,143.3,110.9,110.8,,,
price_indices,2020-03-01,,142.7,111.1,110.6,,,
price_indices,2020-04-01,,142.5,111.6,111.2,,,
price_indices,2020-05-01,,142.3,113.2,109.6,,,
price_indices,2020-06-01,,140.3,113.0,110.5,,,
price_indices,2020-07-01,,140.5,110.6,109.2,,,
price_indices,2020-08-01,,141.2,110.9,109.0,,,
price_indices,2020-09-01,,138.2,110.6,109.8,,,
price_indices,2020-10-01,,136.9,110.4,108.0,,,
price_indices,2020-11-01,,139.7,110.5,107.5,,,
price_indices,2020-12-01,,138.6,110.5,104.5,,,
price_indices,2021-01-01,,142.1,112.9,110.4,,,
price_indices,2021-02-01,,139.7,113.7,109.7,,,
price_indices,2021-03-01,,144.1,113.7,112.7,,,
price_indices,2021-04-01,,146.5,114.2,113.5,,,
price_indices,2021-05-01,,147.4,114.9,114.0,,,
price_indices,2021-06-01,,149.0,115.8,115.5,,,
price_indices,2021-07-01,,148.9,116.2,117.0,,,
price_indices,2021-08-01,,149.7,116.5,119.5,,,
price_indices,2021-09-01,,144.4,116.8,118.8,,,
price_indices,2021-10-01,,144.4,117.0,117.2,,,
price_indices,2021-11-01,,156.9,117.6,120.8,,,
price_indices,2021-12-01,,162.1,118.0,120.9,,,
price_indices,2022-01-01,,168.8,119.5,126.9,,,
price_indices,2022-02-01,,168.2,120.8,129.0,,,
price_indices,2022-03-01,,169.5,121.8,129.3,,,
price_indices,2022-04-01,,192.3,124.8,134.9,,,
price_indices,2022-05-01,,210.8,129.8,144.6,,,
price_indices,2022-06-01,,217.5,133.3,150.0,,,
price_indices,2022-07-01,,220.2,143.9,152.1,,,
price_indices,2022-08-01,,223.0,147.4,154.1,,,
price_indices,2022-09-01,,224.7,150.4,159.7,,,
price_indices,2022-10-01,,224.2,150.5,163.8,,,
price_indices,2022-11-01,,223.2,157.5,162.6,,,
price_indices,2022-12-01,,226.3,159.0,164.4,,,
price_indices,2023-01-01,,213.0,162.5,179.5,,,
price_indices,2023-02-01,,182.5,163.6,184.7,,,
price_indices,2023-03-01,,169.8,164.2,184.6,,,
price_indices,2023-04-01,,163.7,164.4,184.7,,,
price_indices,2023-05-01,,161.5,163.0,184.9,,,
price_indices,2023-06-01,,160.0,160.5,180.2,,,
price_indices,2023-07-01,,161.9,158.3,178.1,,,
price_indices,2023-08-01,,158.4,158.3,176.8,,,
price_indices,2023-09-01,,159.6,157.8,177.0,,,
price_indices,2023-10-01,,162.4,157.6,177.0,,,
price_indices,2023-11-01,,167.6,156.6,173.2,,,
price_indices,2023-12-01,,167.0,156.3,171.1,,,
price_indices,2024-01-01,,175.5,156.4,171.5,,,
price_indices,2024-02-01,,176.2,156.7,172.6,,,
price_indices,2024-03-01,,176.4,156.7,170.6,,,
price_indices,2024-04-01,,180.5,156.8,171.5,,,
price_indices,2024-05-01,,182.3,156.1,166.7,,,
price_indices,2024-06-01,,187.1,156.5,172.4,,,
price_indices,2024-07-01,,195.2,156.9,172.8,,,
price_indices,2024-08-01,,198.6,158.0,172.7,,,
price_indices,2024-09-01,,206.3,157.7,171.6,,,
price_indices,2024-10-01,,226.8,159.3,172.2,,,
price_indices,2024-11-01,,232.9,159.6,169.7,,,
price_indices,2024-12-01,,232.9,159.8,169.7,,,
price_indices,2025-01-01,,232.7,160.5,169.0,,,
price_indices,2025-02-01,,225.4,161.9,171.8,,,
price_indices,2025-03-01,,217.6,162.8,172.0,,,
price_indices,2025-04-01,,210.4,162.7,170.7,,,
price_indices,2025-05-01,,214.3,163.2,171.9,,,
price_indices,2025-06-01,,213.0,162.3,173.7,,,
price_indices,2025-07-01,,211.0,163.4,173.8,,,
price_indices,2025-08-01,,212.1,163.3,175.4,,,
price_indices,2025-09-01,,211.6,163.6,173.5,,,
price_indices,2025-10-01,,190.6,163.0,171.6,,,
price_indices,2025-11-01,,181.8,161.7,171.1,,,
price_indices,2025-12-01,,159.0,157.5,168.7,,,
price_vs_search,,2019-12,144.3,,,36.0,,
price_vs_search,,2020-01,144.9,,,32.0,,
price_vs_search,,2020-02,143.3,,,30.5,,
price_vs_search,,2020-03,142.7,,,31.8,,
price_vs_search,,2020-04,142.5,,,40.0,,
price_vs_search,,2020-05,142.3,,,36.0,,
price_vs_search,,2020-06,140.3,,,31.25,,
price_vs_search,,2020-07,140.5,,,29.75,,
price_vs_search,,2020-08,141.2,,,28.2,,
price_vs_search,,2020-09,138.2,,,29.5,,
price_vs_search,,2020-10,136.9,,,32.25,,
price_vs_search,,2020-11,139.7,,,40.0,,
price_vs_search,,2020-12,138.6,,,41.25,,
price_vs_search,,2021-01,142.1,,,34.8,,
price_vs_search,,2021-02,139.7,,,34.5,,
price_vs_search,,2021-03,144.1,,,35.25,,
price_vs_search,,2021-04,146.5,,,33.25,,
price_vs_search,,2021-05,147.4,,,35.6,,
price_vs_search,,2021-06,149.0,,,27.0,,
price_vs_search,,2021-07,148.9,,,29.0,,
price_vs_search,,2021-08,149.7,,,30.0,,
price_vs_search,,2021-09,144.4,,,30.25,,
price_vs_search,,2021-10,144.4,,,31.4,,
price_vs_search,,2021-11,156.9,,,38.0,,
price_vs_search,,2021-12,162.1,,,40.75,,
price_vs_search,,2022-01,168.8,,,37.0,,
price_vs_search,,2022-02,168.2,,,37.5,,
price_vs_search,,2022-03,169.5,,,40.0,,
price_vs_search,,2022-04,192.3,,,47.75,,
price_vs_search,,2022-05,210.8,,,39.8,,
price_vs_search,,2022-06,217.5,,,37.0,,
price_vs_search,,2022-07,220.2,,,36.0,,
price_vs_search,,2022-08,223.0,,,35.5,,
price_vs_search,,2022-09,224.7,,,39.5,,
price_vs_search,,2022-10,224.2,,,41.8,,
price_vs_search,,2022-11,223.2,,,62.75,,
price_vs_search,,2022-12,226.3,,,52.25,,
price_vs_search,,2023-01,213.0,,,43.8,,
price_vs_search,,2023-02,182.5,,,42.25,,
price_vs_search,,2023-03,169.8,,,41.25,,
price_vs_search,,2023-04,163.7,,,45.6,,
price_vs_search,,2023-05,161.5,,,38.75,,
price_vs_search,,2023-06,160.0,,,32.75,,
price_vs_search,,2023-07,161.9,,,34.4,,
price_vs_search,,2023-08,158.4,,,35.25,,
price_vs_search,,2023-09,159.6,,,34.75,,
price_vs_search,,2023-10,162.4,,,40.8,,
price_vs_search,,2023-11,167.6,,,48.0,,
price_vs_search,,2023-12,167.0,,,48.0,,
price_vs_search,,2024-01,175.5,,,41.0,,
price_vs_search,,2024-02,176.2,,,39.75,,
price_vs_search,,2024-03,176.4,,,44.8,,
price_vs_search,,2024-04,180.5,,,41.0,,
price_vs_search,,2024-05,182.3,,,37.5,,
price_vs_search,,2024-06,187.1,,,36.2,,
price_vs_search,,2024-07,195.2,,,37.5,,
price_vs_search,,2024-08,198.6,,,39.5,,
price_vs_search,,2024-09,206.3,,,50.6,,
price_vs_search,,2024-10,226.8,,,60.75,,
price_vs_search,,2024-11,232.9,,,60.25,,
price_vs_search,,2024-12,232.9,,,76.2,,
economic_concern,,,,,,,0,383
economic_concern,,,,,,,1,123
economic_concern,,,,,,,2,27
economic_concern,,,,,,,3,6
economic_concern,,,,,,,4,2
